S.No,Module,Method,Endpoint (v1),Legacy Endpoint,Description,Required Headers,Path Parameters,Query Parameters,Request Body,Content-Type,Example Request,Access,Authentication,Status,Source File,Line
1,Admin,GET,/api/v1/web/admin/categories,/api/admin/categories,,Authorization: Bearer {token}; Cookie: token={jwt},—,"page (string, optional, default: 1); limit (string, optional, default: 100); search (string, optional)",—,—,GET /api/v1/web/admin/categories?page=string&limit=string&search=string,Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1141
2,Admin,POST,/api/v1/web/admin/categories,/api/admin/categories,,Authorization: Bearer {token}; Cookie: token={jwt}; Content-Type: multipart/form-data,—,—,"name (string, optional); slug (string, optional); parentId (string, optional); sortOrder (string, optional, default: 0); isActive (string, optional, default: true); category_image (file, max 1)",multipart/form-data,POST /api/v1/web/admin/categories (multipart/form-data: category_image=@file + JSON fields),Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1304
3,Admin,DELETE,/api/v1/web/admin/categories/:id,/api/admin/categories/:id,,Authorization: Bearer {token}; Cookie: token={jwt},"id (ObjectId|string, required)",—,—,—,DELETE /api/v1/web/admin/categories/:id,Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1436
4,Admin,PATCH,/api/v1/web/admin/categories/:id,/api/admin/categories/:id,,Authorization: Bearer {token}; Cookie: token={jwt}; Content-Type: multipart/form-data,"id (ObjectId|string, required)",—,"name (string, optional); slug (string, optional); parentId (string, optional); sortOrder (string, optional); isActive (string, optional); clear_image (string, optional); image (string, optional); category_image (file, max 1)",multipart/form-data,POST /api/v1/web/admin/categories/:id (multipart/form-data: category_image=@file + JSON fields),Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1380
5,Admin,GET,/api/v1/web/admin/categories/:id/ancestors,/api/admin/categories/:id/ancestors,,Authorization: Bearer {token}; Cookie: token={jwt},"id (ObjectId|string, required)",—,—,—,GET /api/v1/web/admin/categories/:id/ancestors,Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1354
6,Admin,GET,/api/v1/web/admin/categories/:id/path,/api/admin/categories/:id/path,,Authorization: Bearer {token}; Cookie: token={jwt},"id (ObjectId|string, required)",—,—,—,GET /api/v1/web/admin/categories/:id/path,Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1367
7,Admin,GET,/api/v1/web/admin/categories/all,/api/admin/categories/all,,Authorization: Bearer {token}; Cookie: token={jwt},—,"includeDeleted (string, optional)",—,—,GET /api/v1/web/admin/categories/all?includeDeleted=string,Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1455
8,Admin,GET,/api/v1/web/admin/categories/children?parentId=...,/api/admin/categories/children?parentId=...,,Authorization: Bearer {token}; Cookie: token={jwt},—,"parentId (string, optional)",—,—,GET /api/v1/web/admin/categories/children?parentId=64a1b2c3d4e5f6a7b8c9d0e1,Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1219
9,Admin,GET,/api/v1/web/admin/categories/debug-indexes,/api/admin/categories/debug-indexes,(temporary – remove after debugging),Authorization: Bearer {token}; Cookie: token={jwt},—,"slug (string, optional)",—,—,GET /api/v1/web/admin/categories/debug-indexes?slug=string,Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1278
10,Admin,POST,/api/v1/web/admin/categories/import-excel,/api/admin/categories/import-excel,,Authorization: Bearer {token}; Cookie: token={jwt}; Content-Type: application/json,—,—,—,application/json,POST /api/v1/web/admin/categories/import-excel (no body),Private (Admin only),Admin JWT (Bearer / Cookie),Planned,server/routes/admin.js,1252
