S.No,Module,Method,Endpoint (v1),Legacy Endpoint,Description,Required Headers,Path Parameters,Query Parameters,Request Body,Content-Type,Example Request,Access,Authentication,Status,Source File,Line
1,AI,POST,/api/v1/mobile/ai/enhance-description,/api/ai/enhance-description,Enhance listing description using AI,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"title (string, optional); description (string, optional); category (string, optional)",application/json,"POST /api/v1/mobile/ai/enhance-description
{
  ""title"": ""iPhone 14 Pro"",
  ""description"": ""Excellent condition"",
  ""category"": ""string""
}",Private (requires auth),JWT Required (Bearer),Planned,server/routes/ai.js,11
2,AI,POST,/api/v1/mobile/listings/ai-extract,/api/listings/ai-extract,Extract structured normalized car listing data from text/transcript,Authorization: Bearer {token}; X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"input_text (string, optional)",application/json,"POST /api/v1/mobile/listings/ai-extract
{
  ""input_text"": ""string""
}",Private (requires auth),JWT Required (Bearer),Planned,server/routes/ai.js,26
3,Auth,POST,/api/v1/auth/login,/api/auth/login,Deprecated — use send-otp + verify-otp instead,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,—,application/json,POST /api/v1/auth/login (no body),Public,Public,Planned,server/routes/auth.js,895
4,Auth,POST,/api/v1/auth/logout,/api/auth/logout,Clear JWT cookie (HTTP-only) and finish logout.,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,—,application/json,POST /api/v1/auth/logout (no body),Public,Public,Planned,server/routes/auth.js,904
5,Auth,POST,/api/v1/auth/register,/api/auth/register,Register a new user,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"name (string, required); email (string, required); phone (string, required); phoneCountryCode (string, optional); phoneCountryIso (string, optional); password (string, optional)",application/json,"POST /api/v1/auth/register
{
  ""name"": ""John Doe"",
  ""email"": ""user@example.com"",
  ""phone"": ""+971501234567"",
  ""phoneCountryCode"": ""91"",
  ""phoneCountryIso"": ""IN"",
  ""password"": ""secret123""
}",Public,Public,Planned,server/routes/auth.js,349
6,Auth,POST,/api/v1/auth/send-email-otp,/api/auth/send-email-otp,Send email verification OTP,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"email (string, required)",application/json,"POST /api/v1/auth/send-email-otp
{
  ""email"": ""user@example.com""
}",Public,Public,Planned,server/routes/auth.js,455
7,Auth,POST,/api/v1/auth/send-otp,/api/auth/send-otp,Send OTP for unified login/signup (email or WhatsApp),Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"mode (string, optional); channel (string, optional); email (string, optional); phone (string, optional); phoneCountryCode (string, optional); phoneCountryIso (string, optional)",application/json,"POST /api/v1/auth/send-otp
{
  ""mode"": ""login"",
  ""channel"": ""email"",
  ""email"": ""user@example.com"",
  ""phone"": ""+971501234567"",
  ""phoneCountryCode"": ""91"",
  ""phoneCountryIso"": ""IN""
}",Public,Public,Planned,server/routes/auth.js,656
8,Auth,POST,/api/v1/auth/send-phone-otp,/api/auth/send-phone-otp,Send signup mobile verification OTP via WhatsApp,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"phone (string, required)",application/json,"POST /api/v1/auth/send-phone-otp
{
  ""phone"": ""+971501234567""
}",Public,Public,Planned,server/routes/auth.js,484
9,Auth,POST,/api/v1/auth/verify-email-otp,/api/auth/verify-email-otp,Verify email OTP and mark user verified,Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"email (string, required); otp (string, optional)",application/json,"POST /api/v1/auth/verify-email-otp
{
  ""email"": ""user@example.com"",
  ""otp"": ""123456""
}",Public,Public,Planned,server/routes/auth.js,518
10,Auth,POST,/api/v1/auth/verify-otp,/api/auth/verify-otp,Verify OTP and sign in (email or WhatsApp channel; creates account if new via email),Authorization: Bearer {token} (optional); X-App-Version: 1.0.0; X-Platform: ios | android; Content-Type: application/json,—,—,"otp (string, optional); phone (string, optional); phoneCountryCode (string, optional); phoneCountryIso (string, optional); email (string, optional); mode (string, optional); channel (string, optional)",application/json,"POST /api/v1/auth/verify-otp
{
  ""otp"": ""123456"",
  ""phone"": ""+971501234567"",
  ""phoneCountryCode"": ""91"",
  ""phoneCountryIso"": ""IN"",
  ""email"": ""user@example.com"",
  ""mode"": ""login"",
  ""channel"": ""email""
}",Public,Public,Planned,server/routes/auth.js,756
